refdes,pin,voltage,current
J2,1,11.982,18.0
J2,2,0.0,-18.0
J4,1,11.9661,-2.25
J4,2,0.0542586,2.25
J5,1,11.9703,-2.25
J5,2,0.051483,2.25
J6,1,11.9624,-2.25
J6,2,0.0573303,2.25
J7,1,11.9642,-2.25
J7,2,0.0561927,2.25
J8,1,11.9668,-2.25
J8,2,0.0593313,2.25
J9,1,11.9655,-2.25
J9,2,0.0594367,2.25
J10,1,11.9727,-2.25
J10,2,0.0561157,2.25
J11,1,11.9688,-2.25
J11,2,0.0581078,2.25
IC4,3,0.0116501,5.9392
IC4,2,0.0117756,5.89343
IC4,1,0.0110243,6.16735
IC4,8,0.0410202,-4.7621
IC4,7,0.0404137,-4.54097
IC4,6,0.0398642,-4.34063
IC4,5,0.0399071,-4.35628
