x,y,layer1,layer2,voltage1,voltage2,current
136.304,2767.24,TOP_LAYER,BOTTOM_LAYER,0.00435132,0.00435321,-0.00186375
136.304,3416.85,TOP_LAYER,BOTTOM_LAYER,0.00437718,0.00438027,-0.00304261
175.674,3712.12,TOP_LAYER,BOTTOM_LAYER,0.00438855,0.00438725,0.00127646
195.36,2127.48,TOP_LAYER,BOTTOM_LAYER,0.00431746,0.00431348,0.00392182
215.045,2767.24,TOP_LAYER,BOTTOM_LAYER,0.00435386,0.00435399,-0.000127364
234.73,3643.22,TOP_LAYER,BOTTOM_LAYER,0.00438502,0.00438607,-0.00104248
254.415,3416.85,TOP_LAYER,BOTTOM_LAYER,0.00438261,0.00438237,0.000229733
283.942,2127.48,TOP_LAYER,BOTTOM_LAYER,0.00429933,0.00430697,-0.00754062
303.627,3416.85,TOP_LAYER,BOTTOM_LAYER,0.00438291,0.00438298,-6.87264e-05
318.923,1277.93,TOP_LAYER,BOTTOM_LAYER,0.00409862,0.00410248,-0.00655632
318.923,1377.93,TOP_LAYER,BOTTOM_LAYER,0.00410726,0.00410995,-0.00456273
352.84,3416.85,TOP_LAYER,BOTTOM_LAYER,0.00438383,0.00438433,-0.000495137
402.052,3416.85,TOP_LAYER,BOTTOM_LAYER,0.0043844,0.00438515,-0.000746073
444.206,559.731,TOP_LAYER,BOTTOM_LAYER,0.00394474,0.00394092,0.00505148
451.265,670.782,TOP_LAYER,BOTTOM_LAYER,0.00395068,0.00393438,0.0160789
480.793,2452.28,TOP_LAYER,BOTTOM_LAYER,11.9684,11.9684,-0.00150085
480.793,2550.7,TOP_LAYER,BOTTOM_LAYER,11.9682,11.9682,-0.00205181
480.793,2649.13,TOP_LAYER,BOTTOM_LAYER,11.9679,11.9679,-0.00271821
480.793,2747.55,TOP_LAYER,BOTTOM_LAYER,11.9678,11.9678,-0.00322744
480.793,2845.98,TOP_LAYER,BOTTOM_LAYER,11.9676,11.9676,-0.00337959
500.478,759.365,TOP_LAYER,BOTTOM_LAYER,11.977,11.977,0.0248837
503.262,1169.97,TOP_LAYER,BOTTOM_LAYER,11.9757,11.9757,0.026894
503.262,1268.39,TOP_LAYER,BOTTOM_LAYER,11.975,11.975,0.0197347
