refdes,pin,voltage,current,rpin
VCOMP0,VCOMP0-0,11.982,18,0
VCOMP0,VCOMP0-1,0,-18,0
VCOMP1,VCOMP1-0,11.9661,-2.25,0.0444444
VCOMP1,VCOMP1-1,0.0542586,2.25,0.0444444
VCOMP2,VCOMP2-0,11.9703,-2.25,0.0444444
VCOMP2,VCOMP2-1,0.051483,2.25,0.0444444
VCOMP3,VCOMP3-0,11.9624,-2.25,0.0444444
VCOMP3,VCOMP3-1,0.0573303,2.25,0.0444444
VCOMP4,VCOMP4-0,11.9642,-2.25,0.0444444
VCOMP4,VCOMP4-1,0.0561927,2.25,0.0444444
VCOMP5,VCOMP5-0,11.9668,-2.25,0.0444444
VCOMP5,VCOMP5-1,0.0593313,2.25,0.0444444
VCOMP6,VCOMP6-0,11.9655,-2.25,0.0444444
VCOMP6,VCOMP6-1,0.0594367,2.25,0.0444444
VCOMP7,VCOMP7-0,11.9727,-2.25,0.0444444
VCOMP7,VCOMP7-1,0.0561157,2.25,0.0444444
VCOMP8,VCOMP8-0,11.9688,-2.25,0.0444444
VCOMP8,VCOMP8-1,0.0581078,2.25,0.0444444
VCOMP9,VCOMP9-0,0.0116501,5.9392,0.00274286
VCOMP9,VCOMP9-1,0.0117756,5.89343,0.00274286
VCOMP9,VCOMP9-2,0.0110243,6.16735,0.00274286
VCOMP9,VCOMP9-3,0.0410202,-4.7621,0.00274286
VCOMP9,VCOMP9-4,0.0404137,-4.54097,0.00274286
VCOMP9,VCOMP9-5,0.0398642,-4.34063,0.00274286
VCOMP9,VCOMP9-6,0.0399071,-4.35628,0.00274286
